ANO_ESTADISTICO|SEMANA_ESTADISTICA|GRUPO_EDAD|SEXO|REGION|POBLACION|MUERTES_OBS
2010|1|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|2|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|3|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|4|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|5|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|6|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|7|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|1
2010|8|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|9|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|10|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|11|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|12|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|13|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|14|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|2
2010|15|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|16|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|17|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|18|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|19|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|20|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|21|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|1
2010|22|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|23|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|24|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|25|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|26|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|27|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|28|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|29|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|1
2010|30|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|31|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|32|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|1
2010|33|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|1
2010|34|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|35|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|1
2010|36|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|37|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|38|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|39|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|40|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|41|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|42|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|43|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|44|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|45|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|46|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|47|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|1
2010|48|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|49|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|50|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|51|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2010|52|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12841|0
2011|1|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|2|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|3|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|4|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|5|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|6|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|7|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|8|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|9|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|1
2011|10|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|11|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|12|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|2
2011|13|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|14|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|15|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|16|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|17|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|18|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|19|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|20|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|21|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|22|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|23|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|24|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|25|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|26|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|27|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|28|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|29|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|30|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|31|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|32|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|33|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|34|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|1
2011|35|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|36|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|37|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|1
2011|38|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|1
2011|39|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|40|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|41|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|42|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|43|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|44|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
2011|45|0 a 14|1|De Aisén del Gral. C. Ibáñez del Campo|12848|0
